,agent title,delta_param_mean,delta_param_std,delta_param_median,delta_param_max,delta_param_min,delta_acc_mean,delta_acc_std,delta_acc_median,delta_acc_max,delta_acc_min
0,Our Agent 4 iterations 1 allowed reduction,6.835040249,16.25708599,2.57963854,147.9501385,1,-0.002551107,0.077197006,0,0.667052469,-0.386671418
1,Our Agent 4 iterations 5 allowed reduction,11.53512998,19.87242199,2.967634329,132.6317907,1,-0.011400243,0.087493831,0,0.78,-0.400035638
2,Our Agent 4 iterations 50 allowed reduction,19.96661846,23.15210954,14.30219632,179.8316498,1,-0.022236833,0.10847051,-0.012358955,0.755,-0.381325731
3,Our Agent 1 iteration 1 allowed reduction,1.275941055,0.401822235,1.11096168,2.744604704,1,-0.00548831,0.070043937,0,0.694058642,-0.427214153
4,Our Agent 1 iteration 5 allowed reduction,1.501953272,0.557987578,1.231684967,2.771106681,1,-0.015168467,0.075484766,0,0.407142857,-0.490444469
5,Our Agent 1 iteration 50 allowed reduction,1.405643956,0.493331018,1.229937416,2.771106681,1,-0.014751457,0.084382116,0,0.658950617,-0.316948965
6,Random Agent,10.51050238,7.886121049,9.322138164,85.05743945,1,-0.022255487,0.123191583,-0.017075624,0.6875,-0.33
7,LAP 1,2.018955205,0.139427546,1.993987427,3.181097158,1.947187141,-0.035293943,0.07347352,-0.007189285,0.0875,-0.563419219
8,LAP 3,6.883537678,1.368603245,7.470942558,7.915606747,2.384126984,-0.077011582,0.097496529,-0.043658357,0.296428571,-0.581076265
9,LAP 10,121.0068016,80.56241996,111.3123027,415.8968966,4.456973294,-0.284317899,0.240451498,-0.23994147,0.296428571,-0.998946629
10,Pruning,2.781618084,2.453319905,1.983645528,9.874661252,1.008053691,-0.012332986,0.059004905,-0.000816993,0.451612903,-0.548387097
